시도명,시군구명,계
충청북도,옥천군,48294
충청북도,음성군,90977
충청북도,제천시,128725
충청북도,증평군,37215
충청북도,진천군,86534
충청북도,청주시 상당구,198153
충청북도,청주시 서원구,182032
충청북도,청주시 청원구,189207
충청북도,청주시 흥덕구,284978
충청북도,충주시,207324
